stock_1,stock_2,stock_3,stock_4
35.8700,7.2300,2.1300,32.1800
35.4300,7.1700,2.1200,31.4700
35.1600,7.1500,2.0700,31.0300
35.8000,7.2000,2.0800,32.1000
36.1900,7.2200,2.0900,31.8100
35.9500,7.1500,2.0700,31.4200
36.1300,7.1900,2.0400,30.9900
35.7400,7.2700,2.0100,31.9200
34.5500,7.2300,2.0000,31.6000
33.9000,7.2100,2.0000,31.1700
33.3700,7.2600,2.0300,31.0100
33.6300,7.2600,2.0500,31.0000
33.2200,7.2200,2.0600,30.4100
33.2700,7.2400,2.0400,30.2000
33.7000,7.3100,2.0600,31.3700
33.7400,7.3500,2.0500,31.9600
33.6000,7.2800,2.0200,31.5900
33.6900,7.3200,2.0000,32.2300
32.8800,7.1400,1.9600,31.1900
32.9000,7.1600,1.9100,30.4500
32.6600,7.1100,1.9500,29.5800
32.4800,7.1300,1.9800,29.1800
32.0000,7.1200,1.9600,28.7300
32.4500,7.1600,1.9600,28.6600
32.3600,7.0600,1.9100,28.3300
33.2200,7.0700,1.9100,28.6100
33.2600,7.0800,1.8400,28.3000
33.3000,6.9900,1.8400,28.1100
32.9800,7.0400,1.8400,28.8100
